FORMAT=CSV HEADER=YES
Name,Address,Fixture,"Load Type","Module Type",Wattage,Quantity,"Total Watts","Floor Plan",Area,Description,Voltage,Location,Enclosure_Name,Part_Number,"Enclosure Type","Arc Fault",Generator,Phantom
"LB50  Sconce",="22-5",Fixture-1,Incandescent,Dimming,360,1,360,,"LL Hall",Sconce,120,"Basement Mechanical A",G,08-2108-04,"2 Module Enclosure Surface Mount",False,False,False
"L185  Vanity Lights",="12-7",Fixture-2,Incandescent,Dimming,120,2,240,,"Rear Bath","Vanity Lights",120,"Basement Mechanical A",C,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"LB46  Sconces",="22-3",Fixture-3,Incandescent,Dimming,602,1,602,,"LL Pool Table",Sconce,120,"Basement Mechanical A",G,08-2108-04,"2 Module Enclosure Surface Mount",False,False,False
"LB39  Sconces",="22-2",Fixture-4,Incandescent,Dimming,400,1,400,,"LL Pool Table",Sconce,120,"Basement Mechanical A",G,08-2108-04,"2 Module Enclosure Surface Mount",False,False,False
"LB07  Pendant",="01-1",Fixture-27,Incandescent,Dimming,300,1,300,,"LL Pool Table",Pendant,120,"Basement Mechanical A",A,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"LB14  Recessed",="04-1",Fixture-168,Incandescent,Dimming,50,4,200,,"LL Pool Table",Recessed,120,"Basement Mechanical A",A,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"LB55  Emergency Lights",="16-7",Fixture-174,"High Power Relay","High Power Switching",50,1,50,,"LL Emergency","EM Lights",120,"Basement Mechanical A",D,LMR-8120-00,"4 Module Enclosure Surface Mount",False,False,False
"LB66  Emergency Lights",="18-7",Fixture-8,"Switched Outlet","High Power Switching",50,1,50,,"LL Emergency","EM Lights",120,"Basement Mechanical A",E,LMR-8120-00,"2 Module Enclosure Surface Mount",False,False,False
"L153  Fan Light",="03-2",Fixture-15,Incandescent,Dimming,100,1,100,,"Master Bath","Fan Light",120,"Basement Mechanical A",A,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L150  Sconces",="06-5",Fixture-10,Incandescent,Dimming,160,1,160,,"Master Bedroom",Sconce,120,"Basement Mechanical A",B,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L121  Track Lights",="06-2",Fixture-11,Incandescent,Dimming,450,1,450,,"Master Bedroom","Track Lights",120,"Basement Mechanical A",B,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L133  Receptacle",="16-2",Fixture-12,"Switched Outlet","High Power Switching",1400,1,1400,,"Master Bedroom",OUTLT,120,"Basement Mechanical A",D,LMR-8120-00,"4 Module Enclosure Surface Mount",False,False,False
"L143  Chandelier",="02-1",Fixture-15,Incandescent,Dimming,100,1,100,,"Front Entry",Chandelier,120,"Basement Mechanical A",A,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L156D Soffit Light",="02-2",Fixture-177,Incandescent,Dimming,64,1,64,,"Garage Front Side","Soffit Light",120,"Basement Mechanical A",A,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L162  Overhead Lights",="05-5",Fixture-15,Incandescent,Dimming,100,1,100,,Porch,"Overhead Lights",120,"Basement Mechanical A",B,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L156C  Soffit Lights",="07-3",Fixture-16,Incandescent,Dimming,200,1,200,,"Exterior (Front)","Soffit Light",120,"Basement Mechanical A",B,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L109  Recessed",="08-1",Fixture-17,Incandescent,Dimming,450,1,450,,Kitchen,Recessed,120,"Basement Mechanical A",B,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L117  Recessed",="11-2",Fixture-18,Incandescent,Dimming,75,6,450,,"Main Hall",Recessed,120,"Basement Mechanical A",C,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L160  Lights",="12-5",Fixture-19,Incandescent,Dimming,100,1,100,,"Exterior (Side Door)",Lights,120,"Basement Mechanical A",C,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L156E NSoffit Lights",="12-6",Fixture-20,Incandescent,Dimming,50,3,150,,"Garage Front Side","N. Soffit Lights",120,"Basement Mechanical A",C,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
"L156B  Soffit Lights",="01-3",Fixture-48,Incandescent,Dimming,150,1,150,,"Front Door","Soffit Light",120,"Basement Mechanical A",A,08-2108-04,"4 Module Enclosure Surface Mount",False,False,False
